,titles,subtitles,links
33,CAM YOU BELIEVE IT,Man Utd fans brand camera operator 'GOAT' after Fernandes wins PFA award,https://www.thesun.co.uk/sport/40176255/man-utd-fans-hail-cameraman-bruno-fernandes-pfa-award/
34,DESPERATE SEARCH,Former Premier League star 'goes missing and hasn't been seen for a week',https://www.thesun.co.uk/sport/40174122/premier-league-akos-buzsaky-missing-police-search/
35,GABI GONE,Arsenal to shatter record sale as Gabriel Martinelli closes in on £50m transfer,https://www.thesun.co.uk/sport/40171341/arsenal-record-sale-gabriel-martinelli-50m-al-hilal-transfer/
36,WELCOME PLAYER,Join Sun Vegas now and claim a 100% deposit match bonus and 100 free spins,https://www.thesun.co.uk/sun-bingo/33772563/join-sun-vegas-deposit-match-bonus-free-spins-new-player/
37,TOP DEALS,Best casino bonus and welcome offers for UK players (August 2026),https://www.thesun.co.uk/betting/34614926/best-casino-sign-up-bonus/
38,EXPERT VERDICT,Best Online Casinos UK 2026: Top 20 Ranked & Tested,https://www.thesun.co.uk/betting/32855412/best-online-casinos-uk/
39,COLE NEW WORLD,"Inside Cole Palmer's amazing lifestyle, from £4.3million Surrey mansion to influencer girlfriend and Burberry contract",https://www.thesun.co.uk/sport/40162056/cole-palmer-lifestyle-home-girlfriend-burberry/
40,"WAY TO GO, BRUNO",Bruno WINS PFA players' player of year 16 years after last Man Utd winner,https://www.thesun.co.uk/sport/40168763/bruno-fernandes-pfa-player-year-man-utd/
41,CAPTAIN FANTASTIC,Bruno defying docs was catalyst to Utd revival – but still not a legend,https://www.thesun.co.uk/sport/40171011/bruno-fernandes-pfa-awards-manchester-united-michael-carrick/
42,ALL BARC NO BITE,Atletico Madrid lash out at Barcelona in scathing Julian Alvarez statement,https://www.thesun.co.uk/sport/40179986/atletico-madrid-statement-slam-barcelona-julian-alvarez-transfer/
43,DUB-LING DOWN,Former England star Dion Dublin launches new business venture,https://www.thesun.co.uk/sport/40173414/dion-dublin-launches-business-venture-52north/
44,THAT'S MADD,James Maddison suffers fractured shoulder in Tottenham's horror defeat,https://www.thesun.co.uk/sport/40172346/james-maddison-fractured-shoulder-tottenham-defeat-brentford-injury-update/
45,PALLY WITH VALLY,Ruben Dias' romance with model exposed after she shares videos from Man City star's BED months after Maya Jama split,https://www.thesun.co.uk/sport/40158891/ruben-dias-girlfiend-bed-videos-maya-jama-split/
46,DESPERATE SEARCH,Former Premier League star 'goes missing and hasn't been seen for a week',https://www.thesun.co.uk/sport/40174122/premier-league-akos-buzsaky-missing-police-search/
47,CAR BLIMEY,Fans brand Carabao Cup 'fixed' as 'pre-draw' with only 8 teams set to take place,https://www.thesun.co.uk/sport/40167611/carabao-cup-third-round-draw/
48,GETTING SHIRTY,Man Utd forced to change kit after breaking little-known Premier League rule,https://www.thesun.co.uk/sport/40176952/man-utd-kit-change-badge-premier-league/
49,COME GET MI,Chelsea in talks with Martinez over transfer after they are offered keeper,https://www.thesun.co.uk/sport/40179155/chelsea-consider-emiliano-martinez-transfer-aston-villa/
50,JACK & THE BEAN STALK,Grealish wins planning battle to change wood at £5.6m pad into garden,https://www.thesun.co.uk/sport/40171910/jack-grealish-turns-wood-into-veg-garden/
51,'NO F***S TO GIVE',Snooker legend Ronnie O'Sullivan and wife make social media announcement,https://www.thesun.co.uk/sport/40174255/snooker-ronnie-osullivan-laila-rouass-social-media-announcement/
52,ANGE-R MANAGEMENT,Ronaldo fumes as Postecoglou subs him – but ex-Spurs boss vindicated,https://www.thesun.co.uk/sport/40174334/cristiano-ronaldo-fumes-ange-postecoglou-sub-al-nassr-comeback/
53,GET WELL SOON,Dylan Browne McMonagle update issued with jockey set to be out 'for WEEKS',https://www.thesun.co.uk/sport/40174769/dylan-browne-mcmonagle-jockey-update-fall/
54,ON THE MEND,Paul Scholes' daughter shows off scars in bikini after she was hospitalised,https://www.thesun.co.uk/sport/40177821/paul-scholes-daughter-alicia-bikini-scars-hospital/
55,SARR POINT,Liverpool 'open talks with Crystal Palace over shock Ismaila Sarr transfer',https://www.thesun.co.uk/sport/40178403/liverpool-transfer-ismaila-sarr-crystal-palace/
56,EARNING THEIR $PURS,Prem's top spenders this summer with minnows splashing more than Spurs,https://www.thesun.co.uk/sport/40173780/premier-league-transfer-spending-tottenham/
57,SOLD TRAFFORD,Man Utd 'set bargain transfer price for Toby Collyer with Prem rival keen',https://www.thesun.co.uk/sport/40177803/man-utd-set-toby-collyer-transfer-price-hull-city/
58,PLAN ZEE,Zirkzee ready to leave Man Utd in transfer that could pave way to new striker,https://www.thesun.co.uk/sport/40175881/man-utd-joshua-zirkzee-transfer/
59,ART OF THE DEL,Ipswich set for Delap windfall with Chelsea flop joining Forest for £50m,https://www.thesun.co.uk/sport/40177644/ipswich-liam-delap-windfall-chelsea-flop-forest-transfer/
60,LEON IN WAIT,Aston Villa set to complete stunning Leon Goretzka transfer after Mateta bid,https://www.thesun.co.uk/sport/40168283/aston-villa-leon-goretzka-transfer/
61,NEW HOTSPUR,Spurs confirm £85m Savinho signing and immediately announce name change,https://www.thesun.co.uk/sport/40162786/tottenham-transfer-news-savinho-announced/
62,SEEING DOUBLE,Arsenal star's twin brother tipped to join him in Prem as club eye transfer,https://www.thesun.co.uk/sport/40162735/transfer-news-crystal-palace-quinten-timber/
63,TAKE A BOW,Crystal Palace prepare £50m transfer bid to lure Jarrod Bowen back to Prem,https://www.thesun.co.uk/sport/40145079/crystal-palace-transfer-bid-jarrod-bowen-west-ham/
64,"WORK IT, BABY",Les Mills' The Works is perfect training partner – with price slashed by £250,https://www.thesun.co.uk/sport/39899622/les-mills-works-bundle-exercise-family-fitness/
65,CAN'T BEAT IT,My days of working out in silence are over thanks to ingenious Powerbeats Fit,https://www.thesun.co.uk/sport/39954066/powerbeats-fit-ingenious-locking-system-running-silence/
66,SKIN IN THE GAME,"Skinvity's trousers mean recovery times are slashed, just like their price",https://www.thesun.co.uk/sport/39780648/skinvity-compression-trousers-selfridges-recovery-review/
