,titles,subtitles,links
0,"Yayoi Kusama, high priestess of polka dots, has died","The Japanese artist has died at age 97. Kusama's polka dotted pumpkins, ""Infinity Rooms,"" and other repetitive and dreamlike artworks have been shown in museums and galleries worldwide.",https://www.npr.org/2026/08/26/1102916697/yayoi-kusama-high-priestess-of-polka-dots-has-died
1,Can a landmark settlement protect children from social media?,The owner of Facebook and Instagram has agreed to change the way its platforms work.  Can those changes be enforced? And are they enough to protect the mental health of young people? ,https://www.npr.org/2026/08/26/nx-s1-5945014/can-a-landmark-settlement-protect-children-from-social-media
2,Drugstores say Medicare's $50 obesity drug program is catching on,"The Bridge program, which began July 1, makes some Medicare beneficiaries eligible for obesity drugs for $50 a month. CVS and Walgreens say they've each already filled 100,000 such prescriptions.",https://www.npr.org/2026/08/26/nx-s1-5940761/medicare-weight-loss-drugs
3,Congolese designers push fashion in a different direction,"August 26, 2026 • When the Democratic Republic of Congo is in the news, it’s usually related to poverty, or conflict— most recently it was the Ebola outbreak. But the country is a cradle of design creativity. Congolese artists have few places they can showcase their talents but in the last few years DRC Fashion Week has given them an outlet. We go to annual celebration of color, creativity and fashion.",https://www.npr.org/2026/08/26/nx-s1-5945645/congolese-designers-push-fashion-in-a-different-direction
4,"Immigration arrests soar, hitting 50,000 in July","August 26, 2026 • Since taking over in March, DHS Secretary Markwayne Mullin has pivoted from the confrontational style of immigration enforcement of his predecessor, Kristi Noem. The latest data is reflective of a strategy that is working",https://www.npr.org/2026/08/26/nx-s1-5945127/immigration-arrests-record
5,"Greetings from Karbala, Iraq, where millions gathered for a Shia pilgrimage","August 26, 2026 • Pilgrims came to Iraq from all over the world in August. Many Iraqi and Iranian pilgrims walked hundreds of miles in extreme heat to mark the event. Outside the shrines, the atmosphere is almost festive.",https://www.npr.org/2026/08/26/g-s1-138982/karbala-iraq-arbaeen-shia-muslims
6,States try new tactics to bring down high hospital prices,"August 26, 2026 • Indiana is the latest state to experiment with limiting what hospitals can charge, to try to get a handle on high health costs.",https://www.npr.org/2026/08/26/nx-s1-5939965/medical-price-hospital-healthcare-indiana
7,Judge clears the way for Postal Service work on Trump's mail-in voting order for now,"August 26, 2026 • A federal judge in Boston canceled a nationwide ruling that blocked U.S. Postal Service work on President Trump's order to limit mail-in voting for the midterm election. But a new block may come soon.",https://www.npr.org/2026/08/26/nx-s1-5945260/trump-mail-in-voting-ballots
8,"Will Trump's latest beef plan make your hamburger cheaper? Not much, experts say","August 26, 2026 • The proposal comes weeks before the midterm elections, when food prices and the cost of living are expected to be major issues on voters' minds.",https://www.npr.org/2026/08/26/nx-s1-5944265/ground-beef-trump-tariffs
9,How Dolly Parton wrote the story of a changing America,"August 26, 2026 • Parton, who died at 80 on Tuesday, had charm, depth, beauty, wit and radiant goodness. She was also a songwriter whose work told the story not just of country music but of the country itself.",https://www.npr.org/2026/08/26/nx-s1-5944468/dolly-parton-legacy-songwriting
10,"Meta, states agree to $17 billion settlement in child safety trial","August 26, 2026 • The social media giant also agreed to make sweeping changes to Instagram and Facebook.",https://www.npr.org/2026/08/26/nx-s1-5944781/meta-settlement-child-safety-lawsuit
11,At least 98 killed and hundreds missing after flash floods in Nepal and China,"August 26, 2026 • The disaster is linked to climate change, with experts noting the region's vulnerability to extreme weather.",https://www.npr.org/2026/08/26/g-s1-140211/nepal-china-floods
12,"Canada to hit U.S. with retaliatory tariffs. And, remembering music legend Dolly Parton","August 26, 2026 • Canada has announced it plans to hit the U.S. with countertariffs that mirror its actions ""dollar for dollar."" And, remembering the legacy of country star and icon Dolly Parton, who died at 80.",https://www.npr.org/2026/08/26/g-s1-140207/up-first-newsletter-canada-tariffs-visa-revocations-dolly-parton-nevada-voters
13,COMIC: Trying for a baby? These lifestyle habits may boost your fertility odds,"August 26, 2026 • This illustrated guide has evidence-backed advice on how to support fertility for both men and women, including which foods to eat and which activities to avoid.",https://www.npr.org/2026/08/26/nx-s1-5843276/lifestyle-habits-that-boost-fertility-pregnancy
14,"She got an electric bill for $1,373. She's not alone","August 26, 2026 • The price of electricity is soaring in the summer heat, when fans and air conditioners are working nonstop. In Tulsa, Okla., people are having their power cut when they can't pay their bills.",https://www.npr.org/2026/08/26/nx-s1-5943289/electric-bills-summer-heat-oklahoma-power
15,"Hollywood's summer box office is glowing, but the numbers come with startling caveats","August 26, 2026 • Theaters have had something for everyone this summer, and fans are paying top dollar for premium formats like IMAX. There are also fewer moviegoers, fewer movies and fewer screens than there were pre-COVID.",https://www.npr.org/2026/08/26/nx-s1-5923629/movie-summer-box-office
16,"Hospital nursery fire kills 14 newborns in Pakistan's capital, officials order immediate inquiry","August 26, 2026 • A fire erupted early Wednesday in a nursery for newborns at a major government hospital in Pakistan's capital, killing 14 babies, according to hospital officials and the government.",https://www.npr.org/2026/08/26/nx-s1-5944808/hospital-nursery-fire-kills-14-newborns-pakistan
17,World Tour 8: The continent nobody owns & everyone benefits from,"August 26, 2026 • This episode is packed with your best economic ideas from around the world and a penguin interview. It all comes together in this final session of Summer School 2026.",https://www.npr.org/2026/08/26/nx-s1-5943610/summer-school-antarctica
18,The continent nobody owns & everyone benefits from (Summer School),"August 26, 2026 • This episode is packed with your best economic ideas from around the world and a penguin interview. It all comes together in this final session of Summer School 2026.",https://www.npr.org/2026/08/26/nx-s1-5943609/summer-school-antarctica
19,How well do you know the world's economic quirks? Take the Planet Money Summer School quiz,"August 26, 2026 • Every country tells a different economic story. It's time to test your knowledge of the big ideas we've collected on our World Tour. Eight questions stand between you and your Summer School diploma.",https://www.npr.org/2026/08/26/g-s1-138847/planet-money-summer-school-quiz-2026
20,What Mark Cuban REALLY thinks of Medicare for All,"August 26, 2026 • Medicare for All could save the U.S. trillions… or maybe way less than that? In our second episode on Medicare for All, we look at the convoluted figures behind the hot political topic. We hear directly from billionaire and healthcare voice Mark Cuban on what works about Medicare for All, and why its actual cost is so complicated. ",https://www.npr.org/2026/08/26/nx-s1-5943276/what-mark-cuban-really-thinks-of-medicare-for-all
21,The influencer era is dead. What's next?,"August 26, 2026 • Would you go back to college?",https://www.npr.org/2026/08/26/nx-s1-5944532/the-influencer-era-is-dead-whats-next
